# Region type : patch cell1_to_fins
# Faces  :    307
# Area   :    2.536208e-04
# Time        	areaAverage(T)
1.584         	3.000048e+02
1.58425       	3.000048e+02
1.5845        	3.000048e+02
1.58475       	3.000048e+02
1.585         	3.000048e+02
1.58525       	3.000048e+02
1.5855        	3.000048e+02
1.58575       	3.000048e+02
1.586         	3.000048e+02
1.58625       	3.000048e+02
1.5865        	3.000048e+02
1.58675       	3.000048e+02
1.587         	3.000048e+02
1.58725       	3.000048e+02
1.5875        	3.000048e+02
1.58775       	3.000048e+02
1.588         	3.000048e+02
1.58825       	3.000048e+02
1.5885        	3.000048e+02
1.58875       	3.000048e+02
1.589         	3.000048e+02
1.58925       	3.000048e+02
1.5895        	3.000048e+02
1.58975       	3.000048e+02
1.59          	3.000048e+02
1.59025       	3.000048e+02
1.5905        	3.000048e+02
1.59075       	3.000048e+02
1.591         	3.000048e+02
1.59125       	3.000048e+02
1.5915        	3.000048e+02
1.59175       	3.000048e+02
1.592         	3.000048e+02
1.59225       	3.000048e+02
1.5925        	3.000048e+02
1.59275       	3.000048e+02
1.593         	3.000048e+02
1.59325       	3.000048e+02
1.5935        	3.000048e+02
1.59375       	3.000048e+02
1.594         	3.000048e+02
1.59425       	3.000048e+02
1.5945        	3.000048e+02
1.59475       	3.000048e+02
1.595         	3.000048e+02
1.59525       	3.000048e+02
1.5955        	3.000048e+02
1.59575       	3.000048e+02
1.596         	3.000048e+02
1.59625       	3.000048e+02
1.5965        	3.000048e+02
1.59675       	3.000048e+02
1.597         	3.000048e+02
1.59725       	3.000048e+02
1.5975        	3.000048e+02
1.59775       	3.000048e+02
1.598         	3.000048e+02
1.59825       	3.000049e+02
1.5985        	3.000049e+02
1.59875       	3.000049e+02
1.599         	3.000049e+02
1.59925       	3.000049e+02
1.5995        	3.000049e+02
1.59975       	3.000049e+02
1.6           	3.000049e+02
1.60025       	3.000049e+02
1.6005        	3.000049e+02
1.60075       	3.000049e+02
1.601         	3.000049e+02
1.60125       	3.000049e+02
1.6015        	3.000049e+02
1.60175       	3.000049e+02
1.602         	3.000049e+02
1.60225       	3.000049e+02
1.6025        	3.000049e+02
1.60275       	3.000049e+02
1.603         	3.000049e+02
1.60325       	3.000049e+02
1.6035        	3.000049e+02
1.60375       	3.000049e+02
1.604         	3.000049e+02
1.60425       	3.000049e+02
1.6045        	3.000049e+02
1.60475       	3.000049e+02
1.605         	3.000049e+02
